categoria,produto_referencia,fonte,largura_cm,altura_cm,area_m2,preco_reais,data_consulta,observacao
romana_tela_solar_5,Persiana Romana Tela Solar 5% - Branca,facil_persianas,200,200,4.00,1126.04,2026-07-29,
double_vision_semi_blackout,Persiana Double Vision Semi Blackout,facil_persianas,60,60,0.36,302.98,2026-07-29,
double_vision_semi_blackout,Persiana Double Vision Semi Blackout,facil_persianas,100,180,1.80,597.01,2026-07-29,
double_vision_semi_blackout,Persiana Double Vision Semi Blackout,facil_persianas,100,270,2.70,927.61,2026-07-29,
double_vision_translucida,Persiana Double Vision Plus (Translúcida),facil_persianas,60,60,0.36,198.77,2026-07-29,
double_vision_translucida,Persiana Double Vision Plus (Translúcida),facil_persianas,100,180,1.80,447.36,2026-07-29,
double_vision_translucida,Persiana Double Vision Plus (Translúcida),facil_persianas,220,220,4.84,1357.69,2026-07-29,
painel_blackout,Persiana Painel Blackout,facil_persianas,120,120,1.44,1205.28,2026-07-29,painel nao tem tamanho abaixo de 120x120
painel_blackout,Persiana Painel Blackout,facil_persianas,200,200,4.00,1523.84,2026-07-29,
painel_blackout,Persiana Painel Blackout,facil_persianas,240,240,5.76,1958.08,2026-07-29,
painel_tela_solar_5,Persiana Painel Tela Solar 5%,facil_persianas,120,120,1.44,1115.60,2026-07-29,
painel_tela_solar_5,Persiana Painel Tela Solar 5%,facil_persianas,200,200,4.00,1438.77,2026-07-29,
painel_tela_solar_5,Persiana Painel Tela Solar 5%,facil_persianas,240,240,5.76,1919.19,2026-07-29,
horizontal_aluminio_25mm,Persiana Horizontal Alumínio 25mm,facil_persianas,60,60,0.36,133.86,2026-07-29,
horizontal_aluminio_25mm,Persiana Horizontal Alumínio 25mm,facil_persianas,100,180,1.80,356.92,2026-07-29,
horizontal_aluminio_25mm,Persiana Horizontal Alumínio 25mm,facil_persianas,100,290,2.90,448.77,2026-07-29,
horizontal_aluminio_50mm,Persiana Horizontal Alumínio 50mm,facil_persianas,60,60,0.36,397.59,2026-07-29,
horizontal_aluminio_50mm,Persiana Horizontal Alumínio 50mm,facil_persianas,100,180,1.80,972.58,2026-07-29,
horizontal_aluminio_50mm,Persiana Horizontal Alumínio 50mm,facil_persianas,140,200,2.80,1177.05,2026-07-29,
horizontal_pvc,Persiana Horizontal PVC Basic,persianet,,,,418.00,2026-07-29,PRECO BASE SEM TABELA - Facil Persianas nao vende esse item
horizontal_madeira_50mm,Persiana Horizontal de Madeira 50mm,facil_persianas,60,60,0.36,867.76,2026-07-29,
horizontal_madeira_50mm,Persiana Horizontal de Madeira 50mm,facil_persianas,100,180,1.80,1752.31,2026-07-29,
horizontal_madeira_50mm,Persiana Horizontal de Madeira 50mm,facil_persianas,120,220,2.64,2394.39,2026-07-29,
tela_mosquiteira,Tela Mosquiteira Recolhível Sob Medida,facil_persianas,60,60,0.36,393.40,2026-07-29,
tela_mosquiteira,Tela Mosquiteira Recolhível Sob Medida,facil_persianas,100,180,1.80,622.70,2026-07-29,
tela_mosquiteira,Tela Mosquiteira Recolhível Sob Medida,facil_persianas,140,180,2.52,708.13,2026-07-29,
toldo,NAO ENCONTRADO,,,,,,2026-07-29,Nenhuma referencia confiavel achada - mercado de toldo trabalha por orcamento sob consulta - definir preco manualmente
